Item,Color,Platform A,Platform B,Platform C
Shorts,Mint,1431,1684,1012
T-Shirts,Coral,876,910,1377
Shirts,Coral,1618,771,657
Jeans,Light Blue,1679,1190,1523
Dresses,Black,937,708,1200
Jeans,Brown,1733,1085,1693
T-Shirts,White,801,1745,1289
Jackets,Light Yellow,1384,1908,934
Skirts,Yellow,1790,1508,1161
Jeans,Dark Green,1184,1492,1721
Jeans,Pink,1675,898,1126
Jackets,Black,990,1062,820
T-Shirts,Yellow,581,1595,1083
Jackets,Black,1307,1110,1749
Shirts,Purple,689,1804,1351
T-Shirts,Green,938,1302,1702
Jeans,Brown,1883,1278,1904
Jeans,Dark Blue,617,509,1403
Skirts,Yellow,1357,1919,1452
Jeans,Blue,602,1504,1162
Skirts,Dark Green,719,946,828
Jeans,Yellow,1547,1031,1588
Shirts,Black,1045,929,1230
Jeans,Coral,1298,840,1417
Shorts,Green,1308,742,1572
Skirts,Gray,920,1802,1238
Shorts,Orange,1487,1483,1088
Skirts,Pink,1901,741,1671
Skirts,Light Yellow,836,1361,1931
Jeans,Orange,711,1587,1384
Shorts,Orange,876,954,853
Skirts,Brown,1906,934,1120
Dresses,Green,1677,683,1362
Shirts,Light Yellow,1916,825,640
Jeans,Gray,1553,575,1815
Skirts,Dark Blue,1325,526,1987
Shorts,Coral,1859,1431,1827
Shirts,Blue,1123,1557,1940
Jeans,Red,564,1423,1239
Shirts,Yellow,944,799,967
Dresses,Red,1769,1842,1378
Jeans,Light Yellow,1579,844,1169
Shorts,Dark Green,1663,1055,1245
Skirts,White,842,1304,1681
T-Shirts,White,1750,604,1560
Skirts,Dark Blue,973,1172,1822
Jeans,Dark Blue,1895,1654,1960
Skirts,White,1748,758,1041
T-Shirts,Coral,1450,704,1082
T-Shirts,Yellow,696,1097,1864
Shorts,Mint,1961,1110,838
T-Shirts,Orange,667,1847,1847
Shorts,Dark Green,556,1454,573
Skirts,Yellow,1634,954,1599
Shorts,Orange,829,796,687
Jeans,White,1847,1990,862
Skirts,Coral,1726,1064,1745
T-Shirts,Brown,650,1717,1792
Dresses,Yellow,784,641,1643
T-Shirts,Green,1868,1980,1501
Jackets,Red,1521,530,1220
Shorts,Green,1354,1219,725
T-Shirts,Brown,1016,556,1579
Jackets,Blue,1352,549,1565
Jeans,Dark Red,1096,1497,1830
Skirts,Mustard,1202,1753,875
Shorts,Gray,1617,1357,1678
Jeans,Dark Red,1511,639,1870
Skirts,Light Yellow,611,1606,1917
Jackets,Pink,1960,1216,887
T-Shirts,Light Yellow,1666,713,949
T-Shirts,Light Yellow,952,985,1121
T-Shirts,Yellow,1611,1945,1684
Skirts,Brown,1250,756,1724
T-Shirts,Purple,1015,1629,1440
Jeans,Dark Blue,1965,1870,1127
Jeans,Purple,1483,1560,1098
T-Shirts,Coral,1086,897,1265
Dresses,Green,1384,1538,1887
Skirts,Dark Green,1986,1051,1487
Dresses,Yellow,1670,1007,761
Jackets,Brown,1971,1901,1169
Shorts,Yellow,1612,1913,606
T-Shirts,Purple,1808,1738,1959
Dresses,Light Blue,1930,1130,1489
Skirts,Dark Red,1708,1276,1203
Jackets,Mustard,764,727,1196
Skirts,Dark Red,710,863,1755
Dresses,Brown,1260,1191,903
Shorts,Gray,1153,1889,850
Jackets,Brown,1011,605,1160
Shirts,Brown,742,1156,667
Jackets,Orange,1448,1286,995
Skirts,Gray,1405,1826,985
T-Shirts,Light Blue,1761,792,585
T-Shirts,Orange,678,1873,1182
T-Shirts,Red,1619,1973,1588
Jackets,Red,895,969,1862
Jackets,Blue,1745,1262,1799
Shorts,Coral,1148,791,1198
Shirts,Pink,931,843,1024
T-Shirts,Coral,781,1208,1873
Dresses,Dark Green,1217,1258,1908
Shirts,Blue,877,1033,954
Shorts,Black,1085,1811,1799
Jackets,Green,1702,1879,900
Jackets,Gray,815,1658,642
Skirts,White,551,1014,561
Shirts,Red,717,1155,785
T-Shirts,Mustard,1479,1198,1317
T-Shirts,Purple,1842,750,647
Dresses,Dark Blue,727,1051,1545
Skirts,Coral,749,1416,1420
Skirts,Dark Red,984,788,1608
Shirts,Mustard,870,716,721
Shorts,Mint,1815,1430,1127
Jackets,Green,1613,1210,1050
Jackets,Black,924,1327,1081
T-Shirts,Purple,1570,1962,1093
T-Shirts,Orange,1553,1256,674
Shirts,Dark Red,1837,1661,1875
Jeans,Blue,1754,543,1106
T-Shirts,Gray,1880,1025,1520
Shorts,Blue,1579,701,1097
Skirts,Red,648,620,1689
Shorts,Purple,554,1352,803
Jackets,Mint,876,1665,1130
Shirts,Purple,1391,1216,972
Shirts,Coral,820,1993,982
Shorts,Yellow,1781,1134,1518
Dresses,Mint,1162,1817,1151
T-Shirts,Brown,1757,1728,883
Jackets,Mint,1187,1602,1171
T-Shirts,Mint,1638,1981,1379
Skirts,Blue,1263,1807,1038
Jeans,Brown,508,985,920
Skirts,Green,675,856,1500
Jeans,Mint,966,777,1646
Dresses,Red,704,506,1074
Shorts,Dark Green,899,1111,1801
Skirts,White,934,1334,594
Shorts,Orange,635,794,1333
Shorts,Dark Red,1675,1031,737
Jackets,Brown,1875,1220,1961
Jackets,Dark Blue,994,1733,1423
Skirts,Light Yellow,521,1089,800
T-Shirts,White,1627,1906,1025
Skirts,Dark Red,1666,1805,1414
T-Shirts,Dark Red,817,1481,1335
Dresses,Dark Red,1421,944,1546
Jeans,Black,995,793,1508
Shorts,Pink,1235,798,1903
Skirts,Blue,1109,861,1635
Jackets,Red,1715,760,1749
Jackets,Purple,1850,834,1287
Dresses,Light Yellow,789,1765,619
T-Shirts,White,1930,542,978
Jeans,White,701,1223,810
Skirts,Blue,1355,1421,1156
Skirts,Light Blue,595,1362,658
Shirts,Gray,1499,676,756
Jackets,Blue,995,536,1438
Skirts,Light Blue,514,1450,516
Shorts,Dark Blue,1949,1070,1227
Dresses,Brown,1917,1128,1988
Jackets,Black,1752,910,704
Jackets,Purple,1548,1476,1328
Skirts,Gray,1383,1156,1186
Skirts,Dark Red,1513,708,948
Shirts,Pink,505,1337,1003
Shirts,Yellow,912,638,1118
Shirts,Coral,522,1033,1378
Skirts,Yellow,1117,728,756
Shorts,Mustard,700,1943,1167
Jeans,Red,1778,1584,1034
Jeans,White,1982,1965,1364
Dresses,Red,1865,980,1504
Skirts,Yellow,557,1029,1211
Shirts,Mustard,1490,577,609
Jeans,Mint,1104,903,1872
Skirts,Blue,1043,1259,660
Jackets,Coral,978,1246,1621
Jackets,Pink,1172,1080,1421
Jackets,Brown,1053,1100,874
Shirts,Red,620,843,1657
Dresses,Purple,1296,1397,1622
Jeans,Red,1333,1403,1708
Jeans,Brown,1779,1598,1946
T-Shirts,Light Yellow,854,806,760
Shirts,Black,982,1149,931
Jackets,Yellow,1764,720,1520
T-Shirts,Light Yellow,737,1757,1574
Dresses,Mustard,1978,750,928
T-Shirts,Mint,1101,1627,609
Skirts,Light Blue,1888,953,1226
Jeans,Red,1991,590,527
Jackets,Purple,1522,764,1454
Shorts,Dark Blue,1405,1069,1844
Jackets,Brown,1494,1568,936
Shorts,Light Yellow,1610,1609,1910
T-Shirts,Dark Blue,815,1669,648
Shorts,Mustard,1964,1145,812
T-Shirts,Purple,681,852,1479
Jackets,Coral,656,793,1552
Shirts,Orange,1419,1585,1620
Shirts,Red,760,1328,1827
T-Shirts,Yellow,1905,1712,979
Skirts,White,587,942,1240
T-Shirts,Orange,603,684,1342
Skirts,Mint,1029,1466,861
T-Shirts,Light Blue,1586,1728,1696
Dresses,White,1660,1679,1503
Dresses,Purple,1256,1128,784
T-Shirts,Purple,1004,709,1728
Shirts,Pink,1923,1222,946
Skirts,Purple,965,1731,1711
Dresses,Dark Red,825,1272,1214
Skirts,Blue,1147,1028,1404
Jeans,Dark Red,609,1391,561
Shorts,Red,655,859,614
Jackets,White,1366,639,1373
Shirts,Red,1722,1437,703
Shirts,Light Yellow,1164,1566,1285
Jeans,Dark Red,856,625,1929
Shirts,Pink,1889,1034,538
Jackets,Mustard,1024,1390,708
Dresses,Dark Red,849,1481,940
Jackets,Gray,1937,1648,1094
Jeans,Red,830,1183,1305
Jackets,Pink,1180,818,1996
Jackets,Yellow,783,1139,928
Dresses,Purple,530,829,1632
Dresses,Gray,1110,876,729
Jackets,Mint,1676,623,1571
Jackets,Mint,950,1477,612
Jeans,Blue,1326,1739,1865
Skirts,White,1917,1192,1136
Jackets,Dark Red,762,1579,1716
Skirts,Dark Green,864,1667,546
Shorts,Green,1439,887,1472
Shorts,Orange,1895,851,1679
Shirts,Light Blue,602,1582,599
Shorts,Mint,1131,1777,1829
Jeans,White,1838,803,1980
Dresses,Green,1045,689,1984
Skirts,Dark Blue,766,1663,868
Skirts,Dark Red,898,1940,522
Shirts,Yellow,1766,1118,1621
Shirts,Green,778,1987,1018
Jackets,Pink,743,1667,969
Shorts,Green,1222,1333,929
Jackets,Red,1815,1105,1664
Shirts,Red,1518,529,879
Shirts,Blue,1342,812,1887
Jeans,Gray,1172,856,1698
T-Shirts,Dark Red,649,1105,1604
Skirts,Blue,1836,948,1169
Shirts,Orange,1597,795,626
Dresses,Yellow,1246,1354,1071
Skirts,Mint,1183,1782,1494
Shirts,Red,1355,857,784
Shirts,Orange,1385,1778,1706
Jeans,Green,975,1287,1885
T-Shirts,Black,1322,1410,1542
Shorts,Blue,1262,1426,592
T-Shirts,Blue,1227,1911,1988
Jeans,Light Yellow,1906,1086,1880
Dresses,Yellow,1633,736,637
Shorts,Black,1197,1315,725
T-Shirts,Purple,1858,738,1036
Dresses,Dark Blue,1698,1483,715
Skirts,Gray,1300,1444,693
Skirts,Dark Green,1756,1651,1632
T-Shirts,Dark Blue,1290,573,992
T-Shirts,Brown,1579,1045,956
Skirts,Yellow,1880,1381,1864
Jackets,Orange,993,1742,1969
Skirts,Gray,1955,1660,783
Shorts,Dark Green,1298,1681,1039
T-Shirts,Dark Red,508,1872,960
Skirts,Green,981,1493,1493
T-Shirts,Dark Green,1536,1701,1189
Jackets,Brown,716,1884,829
Jeans,Dark Blue,536,1769,1550
Shirts,Black,1303,682,673
T-Shirts,Black,611,1440,1146
Dresses,Pink,1658,1392,1986
T-Shirts,Pink,1955,646,1099
Skirts,Mint,1805,962,701
Dresses,Mint,1762,1500,1893
Dresses,Dark Blue,1958,1150,1320
Shirts,Dark Green,761,717,1368
T-Shirts,Dark Red,1691,1850,1095
Jeans,Mint,925,1680,1202
Shorts,Purple,691,1577,1329
Shorts,Light Blue,1695,1924,1736
Dresses,Pink,933,585,1778
Dresses,Purple,597,1610,564
Jeans,Dark Green,1582,561,626
Dresses,Dark Green,1259,1222,1820
Shorts,Pink,1704,628,817
Skirts,Light Blue,1531,1468,511
Jeans,Blue,707,869,800
Skirts,Coral,903,1846,1460
T-Shirts,Blue,749,1533,1938
Jackets,Yellow,807,1815,1924
Jackets,Gray,1191,1886,1065
Jackets,Purple,681,942,1673
T-Shirts,Yellow,1336,928,1324
T-Shirts,Yellow,1357,1524,1919
Jackets,Dark Green,870,956,652
Skirts,Blue,1741,1814,622
Dresses,Light Blue,1963,1454,1059
Dresses,Dark Red,1534,588,1319
Jackets,Mustard,658,1854,1861
Jeans,Dark Blue,1253,609,1432
Jeans,Red,1215,1408,1379
Dresses,Blue,1388,1384,684
Shorts,Red,1808,1084,983
Shirts,Dark Red,1408,694,1156
Skirts,White,1897,1766,648
Skirts,White,1318,1245,1474
Skirts,Black,1276,1374,1939
Shirts,Yellow,1017,1166,1818
Jeans,Mustard,1081,1094,1366
Jackets,Gray,1049,1561,1898
Jeans,Dark Red,997,542,1353
Skirts,Mint,958,1731,1190
Shorts,Coral,1315,645,674
Jackets,Yellow,820,860,1076
Jeans,Brown,1635,1667,1283
Skirts,Mint,903,1765,745
Dresses,Green,1256,1508,1356
Dresses,Light Blue,526,628,1123
Jeans,Blue,1420,1492,814
Jackets,Mint,1597,1890,500
Shirts,Orange,1840,1175,1374
Shorts,Green,1152,898,1420
Jeans,Black,1551,625,1738
Jackets,Mustard,705,788,1485
T-Shirts,Dark Green,1962,1217,1437
Shorts,Pink,875,814,1759
Skirts,Green,1530,1673,1595
T-Shirts,Gray,706,1674,1269
Jeans,Coral,1861,1022,1156
Dresses,Coral,1085,1033,523
Skirts,Brown,1285,1899,1649
Jeans,Mint,1515,1479,1664
Shirts,Purple,1373,1476,1065
Jeans,Red,955,1980,1629
Shirts,Purple,514,1527,1897
Dresses,Dark Green,1748,1642,1094
Jackets,Purple,1829,1225,1176
Shirts,Green,631,1795,712
Shorts,Dark Green,728,524,1335
Shorts,Red,1105,1937,683
T-Shirts,Dark Green,877,1483,1669
Jackets,Orange,1756,1972,882
T-Shirts,Light Yellow,1625,1248,871
T-Shirts,Orange,1093,1451,1354
T-Shirts,Green,1602,691,1734
Shorts,Yellow,1911,533,791
T-Shirts,Yellow,980,1679,1496
Shirts,Purple,813,1994,1558
T-Shirts,Mint,900,590,850
Skirts,Dark Blue,729,1575,1577
Shorts,Brown,1720,589,853
Shirts,Mint,1900,719,619
Dresses,Brown,1191,1277,1807
Shirts,White,1380,1069,1593
Jeans,Yellow,524,682,843
Dresses,Light Blue,768,1188,967
T-Shirts,Yellow,1449,1937,1133
T-Shirts,Pink,1921,1870,769
Jeans,Pink,800,893,619
Jackets,Blue,1418,1425,1934
T-Shirts,Dark Green,1195,1384,1875
Dresses,Green,1099,1406,1155
Dresses,Mint,1483,1523,965
Dresses,Green,1354,922,838
Shirts,Orange,838,1501,516
Shorts,Dark Blue,1804,1198,717
Shorts,Brown,1088,1930,1793
Shirts,Dark Green,1139,1796,1250
Dresses,Dark Blue,1114,1480,1827
Shirts,Dark Red,1890,1625,1663
Jackets,Black,1023,1184,902
Shirts,Blue,1409,911,1880
Skirts,Green,1780,766,1741
Jackets,Light Yellow,1587,865,505
Shirts,Light Blue,1027,667,1704
Skirts,Dark Red,1372,545,1612
Jackets,Brown,1941,928,601
Skirts,Dark Red,861,1135,1961
Shorts,Black,846,1521,1432
Shorts,Brown,1631,633,1015
Shirts,Coral,1919,1142,1142
Shirts,Green,1873,804,742
Shirts,White,1835,1030,1297
Shorts,Dark Blue,702,602,746
T-Shirts,Dark Blue,777,1107,1053
Skirts,Blue,844,1060,594
T-Shirts,Dark Green,1985,1323,1440
Dresses,Mustard,1045,945,1619
Shirts,Blue,1760,636,1394
Dresses,Black,929,1994,585
Jackets,Red,1175,1434,1999
T-Shirts,Dark Red,1878,519,1352
Skirts,Dark Green,1817,1262,996
Shorts,Black,1739,1611,1847
Jeans,Red,606,1145,1268
Shirts,Light Blue,1887,1808,1248
Dresses,Dark Red,1457,1899,803
Dresses,Pink,607,1301,1802
Dresses,Brown,1818,1582,1724
T-Shirts,Blue,1186,567,573
T-Shirts,Dark Green,1909,1864,1626
Jeans,Gray,1758,1218,1001
Jackets,White,849,634,720
T-Shirts,Brown,723,1439,1645
Shorts,Mint,930,1257,635
Skirts,Light Blue,619,1375,1878
Skirts,Pink,876,1328,672
Dresses,Yellow,567,646,1112
Shorts,Pink,622,1701,1375
Shirts,Blue,667,1397,1521
Dresses,Dark Blue,891,977,1473
Skirts,Purple,1356,938,1230
Skirts,Dark Red,1813,673,686
Skirts,Light Yellow,1958,875,1156
Dresses,Black,1220,511,1895
Jeans,White,1552,1451,761
Shirts,Gray,1346,1034,802
Jeans,Light Yellow,1938,1678,1761
Jeans,Mustard,929,1385,1521
Shirts,White,1493,866,1633
Skirts,Coral,1459,1610,570
Skirts,Light Yellow,1073,972,1182
Dresses,Mint,1466,588,928
Dresses,Dark Red,668,1601,1217
Jeans,Pink,954,1282,1869
Shirts,Mint,988,1295,906
Shirts,Light Blue,969,841,687
T-Shirts,Blue,869,1896,1067
T-Shirts,Light Yellow,908,955,652
Jeans,Purple,549,1676,1649
Dresses,Blue,1451,803,1272
Skirts,Light Blue,515,969,516
Jackets,Dark Green,639,622,944
Shorts,Pink,1826,973,1595
Skirts,Light Yellow,1036,625,1486
Jeans,Orange,1094,615,973
Shirts,Brown,716,1326,1258
T-Shirts,Light Blue,1867,1915,1713
Dresses,White,1110,1013,1394
Shirts,Gray,1017,1655,909
Dresses,Blue,834,1371,1102
Dresses,Orange,1555,531,628
Jeans,Orange,611,520,1060
T-Shirts,Red,1819,969,1562
T-Shirts,White,1907,832,1235
Jackets,Gray,998,1839,1946
Skirts,Pink,1962,905,1270
Shirts,Dark Blue,744,570,773
Jackets,Purple,1878,875,1784
Jackets,Blue,1948,1021,1320
Shirts,Light Blue,884,1818,1493
Jackets,Dark Blue,1287,1854,937
Shorts,Coral,1114,1298,966
T-Shirts,Pink,1167,652,1471
Shorts,Pink,1657,669,1015
Dresses,Mint,1421,550,1019
Skirts,Red,1786,572,1650
Jackets,Red,1032,1307,1983
Skirts,Coral,1563,622,802
Dresses,Light Yellow,1901,1717,1458
Skirts,Dark Blue,1791,1127,1112
Shorts,Dark Red,1805,1968,790
Dresses,Light Blue,1515,1244,1899
Skirts,Coral,1080,537,1830
T-Shirts,Red,1245,1685,1257
Jackets,Dark Green,628,532,1196
Skirts,White,1234,833,1831
Skirts,Mustard,1768,1144,1665
Shorts,Light Yellow,1881,855,1216
Shirts,Pink,509,1317,1059
Skirts,White,627,1297,1679
Jackets,Gray,709,629,1276
Jackets,Green,809,1714,1704
Dresses,Green,807,510,1985
T-Shirts,Dark Green,1385,1722,1043
Skirts,Mustard,923,1102,1666
Shorts,Black,1092,541,1300
T-Shirts,Dark Red,735,1128,1449
T-Shirts,Yellow,780,1145,1011
Skirts,Black,1262,1514,1006
Shorts,Coral,1498,724,1433
Shirts,Mint,1183,947,1358
Jeans,Pink,1541,1428,1164
Skirts,Orange,800,726,1224
Jeans,Light Blue,1961,652,683
Skirts,Pink,1032,1915,773
T-Shirts,Pink,1533,965,1647
Skirts,Mustard,1939,1484,1454
Jeans,Yellow,1659,1986,1742
Shorts,Purple,1614,901,1472
T-Shirts,Yellow,555,1320,801
Skirts,Light Blue,1866,799,1654
Shorts,Coral,980,1429,1735
Shirts,Dark Blue,1030,1440,1934
Dresses,White,839,1945,537
Skirts,Black,1057,1160,1930
Shirts,Mustard,1150,1241,1720
Jeans,Light Yellow,1107,1909,873
Jackets,Dark Blue,1658,1024,1742
Shirts,Dark Blue,991,1817,1822
Dresses,Red,615,1732,641
Shirts,Red,861,674,1848
Jackets,Purple,1274,1752,1354
Skirts,Black,1887,1238,1960
Shirts,Brown,857,1588,1048
Skirts,Pink,931,919,1855
Jeans,Black,1414,1702,1980
Dresses,Gray,1795,898,1515
Jackets,Dark Blue,1253,1101,1567
Shirts,Pink,1744,1824,1626
Dresses,Purple,1763,546,1884
Shirts,Orange,1273,1329,1647
Shorts,Mustard,1147,528,1232
Dresses,Coral,1920,1216,1739
Shirts,White,687,676,770
Jeans,Light Blue,1496,1242,750
Jackets,Light Blue,1799,955,1843
Shorts,Dark Blue,1627,1565,659
Jackets,Red,809,969,1202
Jeans,Yellow,1190,668,1738
Skirts,Purple,817,755,862
Shirts,Mint,809,1549,1157
Jeans,Yellow,1142,1332,1768
Jeans,Mustard,1246,1098,610
Shorts,Dark Blue,1113,799,1219
Shorts,Dark Green,1664,1562,806
Dresses,Black,608,1769,1304
Jeans,Brown,1812,883,1857
Jeans,Yellow,852,1952,1461
Skirts,Green,1463,1269,764
Shorts,Green,521,1718,945
Shorts,Red,1870,1962,1778
T-Shirts,Coral,1271,1662,1025
Jackets,Gray,618,1706,1220
Dresses,Dark Blue,798,799,1029
Jeans,Mint,985,1793,1326
T-Shirts,Black,962,1488,1502
T-Shirts,Gray,1993,1525,785
Jeans,Brown,1321,1267,1562
Skirts,Yellow,853,1264,1410
Jackets,Mint,1416,1001,1955
Shorts,Pink,1403,1240,1881
Shorts,Light Yellow,1808,1370,1947
Jackets,Mint,1726,1958,1514
Jackets,Black,1605,1133,893
Shorts,Red,512,1372,1843
Shirts,Dark Green,1058,796,1513
Shorts,Dark Green,1481,982,1477
Jackets,Purple,1766,1763,725
Skirts,Coral,1218,1678,1424
Jeans,Yellow,1520,1759,1886
Dresses,Red,1333,1229,1219
Shirts,Orange,1969,1101,1577
Shirts,Orange,1386,1069,1269
Jeans,Light Yellow,951,690,1289
Jeans,Red,1818,1146,924
Dresses,Coral,1555,1411,729
Shorts,Light Blue,650,1515,1609
Jackets,Light Blue,1640,1570,1696
Skirts,Mustard,745,1874,1487
Shorts,Light Blue,797,1729,1259
Dresses,Purple,1893,1760,592
Jackets,Orange,1877,527,1364
Jeans,Black,1047,1342,1047
Dresses,Yellow,1132,1454,770
Shorts,Light Yellow,1510,1944,1732
Jackets,Red,1684,1165,1182
Jeans,Light Blue,1337,834,1693
Shirts,Green,921,1388,1769
Dresses,Mustard,1157,925,643
T-Shirts,Dark Green,1468,1707,584
Shirts,Mustard,1650,1499,1039
T-Shirts,Brown,1193,1370,1066
Jeans,Purple,1607,1299,1444
T-Shirts,White,881,1133,1165
Skirts,Light Blue,1020,1863,1092
Jackets,Light Yellow,1153,1707,1972
Jeans,Red,1833,1933,1012
T-Shirts,Light Blue,1020,1212,1729
Jeans,Mustard,854,666,855
Skirts,Pink,1185,1660,890
T-Shirts,Blue,1977,848,684
T-Shirts,Mustard,901,567,1243
Shirts,Purple,1011,1852,883
T-Shirts,Dark Green,1414,1872,532
Jackets,Light Blue,1589,1438,1765
T-Shirts,Green,1786,1117,756
Jeans,Mint,718,1714,1052
Skirts,Mint,1900,1410,1708
Dresses,Green,767,1797,728
Shorts,Gray,1262,1501,1197
Jackets,Mint,669,645,1729
Skirts,Dark Green,752,1150,1271
Skirts,Red,1216,1208,1213
T-Shirts,Light Blue,1494,1233,1584
Shorts,Orange,892,983,1920
Dresses,Black,1617,1601,1770
Shorts,Dark Green,1777,1735,1088
Dresses,Red,1614,736,1558
Skirts,Pink,818,1535,731
Shorts,Black,1287,1879,1473
Jeans,Light Blue,1787,1271,1779
Dresses,Green,1517,622,820
Dresses,Purple,1712,1797,1121
Shorts,Dark Green,1850,693,909
Jackets,White,853,810,974
Skirts,Gray,1814,1781,1703
Jackets,Black,1052,1425,1002
Jackets,Coral,1269,630,1645
Shirts,Purple,578,780,513
Dresses,Light Blue,599,912,1930
Shorts,Blue,1977,785,1518
Jackets,Black,1249,1184,1879
Jackets,Light Yellow,820,1720,1602
Skirts,Gray,942,817,964
Shirts,Red,1827,1435,1647
Skirts,Purple,566,1873,645
Jackets,Green,584,1354,1272
Skirts,Dark Green,850,1419,880
Jeans,Black,1783,767,552
T-Shirts,Light Yellow,1498,896,900
Shorts,Orange,579,661,1302
Shirts,Dark Green,583,503,880
Jackets,Light Blue,1552,827,833
Jackets,Mint,1457,671,1020
Jackets,Red,952,1881,815
Shorts,Red,1141,1548,692
T-Shirts,Mustard,932,1765,1871
Shirts,Light Yellow,1762,1257,573
Shorts,Brown,1942,1539,1205
Jackets,Yellow,1494,617,1499
Shirts,Dark Blue,1059,983,729
Jackets,Light Yellow,1625,1877,1164
Shorts,Black,1030,625,985
Dresses,Black,1897,1771,1037
Jeans,Blue,1319,1716,1720
Jeans,Yellow,537,1386,513
Skirts,Purple,825,696,1394
Shorts,Pink,953,1958,833
Shorts,Red,696,1901,1866
Shorts,Dark Blue,1956,1262,650
T-Shirts,Purple,1055,1028,1180
Jackets,Orange,1269,581,1499
Jackets,Brown,1278,1937,791
Skirts,Purple,1287,865,1024
Jeans,Yellow,1084,1854,900
Skirts,White,863,901,971
Jeans,Orange,695,1001,951
Jeans,Coral,875,1494,923
Shirts,Black,1398,1308,894
Skirts,Orange,1542,1996,1797
Shirts,Pink,1299,527,1867
Skirts,Mustard,1882,1966,1803
Jackets,Dark Green,1529,1276,978
Shorts,Orange,1593,552,1163
Jeans,Blue,815,1414,1534
Jackets,Blue,1765,975,1032
Jeans,Dark Red,1818,1742,509
Dresses,Mint,1505,955,1785
Shirts,Mint,1491,1470,1233
Jackets,Green,1852,1545,591
